n,tempo
600,0.0
1200,0.0
1800,0.015625
2400,0.03125
3000,0.03125
3600,0.0625
4200,0.0625
4800,0.09375
5400,0.125
6000,0.140625
6600,0.15625
7200,0.21875
7800,0.25
8400,0.28125
9000,0.296875
9600,0.359375
10200,0.515625
10800,0.515625
11400,0.671875
12000,0.578125
12600,0.609375
13200,0.703125
13800,0.734375
14400,0.84375
15000,0.90625
15600,1.0
16200,1.09375
16800,1.4375
17400,1.296875
18000,1.28125
18600,1.40625
19200,1.53125
19800,1.578125
20400,1.671875
21000,1.796875
21600,1.90625
22200,2.015625
22800,2.203125
23400,2.265625
24000,2.6875
24600,2.515625
25200,2.796875
25800,2.734375
26400,2.84375
27000,2.90625
27600,3.046875
28200,3.203125
28800,3.203125
29400,3.34375
30000,3.546875
30600,3.71875
31200,3.828125
31800,4.125
32400,4.171875
33000,4.328125
33600,4.65625
34200,4.625
34800,5.375
35400,5.0
36000,5.078125
36600,5.34375
37200,5.734375
37800,6.578125
38400,6.171875
39000,6.015625
39600,6.21875
40200,6.546875
40800,6.53125
41400,7.015625
42000,7.28125
42600,7.15625
43200,7.640625
43800,7.703125
44400,7.828125
45000,8.0625
45600,8.625
46200,9.109375
46800,8.859375
47400,8.984375
48000,9.28125
48600,9.34375
49200,9.953125
49800,9.75
50400,10.828125
51000,10.4375
51600,10.984375
52200,10.75
52800,12.125
53400,12.265625
54000,12.328125
54600,13.125
55200,19.171875
55800,16.65625
56400,17.0
57000,20.984375
57600,21.53125
58200,17.46875
58800,56.546875
59400,46.234375
60000,54.828125
60600,51.234375
61200,48.34375
61800,43.84375
62400,45.546875
63000,54.9375
63600,49.96875
64200,53.96875
64800,55.0625
65400,53.640625
66000,55.59375
66600,55.75
67200,59.875
67800,62.6875
68400,66.1875
69000,68.703125
69600,66.9375
70200,72.03125
